,name,mTurkID,subID,drive_name,drive_index,time,SurveyPage_Question1,SurveyPage_Question2,SurveyPage_Question3,SurveyPage_Question4,SurveyPage_Question5,SurveyPage_Question6,SurveyPage_Question7,SurveyPage_Question8,SurveyPage_Question9,SurveyPage_Question10,SurveyPage_Question11,SurveyPage_Question12,SurveyPage_Question13,SurveyPage_Question14,SurveyPage_Question16,SurveyPage_Question15
58,['value'],[' p176'],['188'],['3210'],['2'],['Fri Feb 10 2023 21:20:01 GMT-0500 (Eastern Standard Time)'],['Orange'],"[""It's like a segway. I don't remember the exact term for it.""]",['26-35'],"['Other', 'Non-binary']",['Liberal Arts'],['High_school_degree_or_equivalent'],['1'],['1'],['2'],['2'],['0'],,['none'],,['Yes'],
59,['value'],[' p82'],['35'],['4301'],['2'],['Mon Jan 30 2023 17:26:24 GMT-0600 (Central Standard Time)'],['Orange'],['self-driving autonomous scooter'],['36-45'],['Female'],"['Other', 'special events']",['Associate degree'],['1'],['1'],['0'],['0'],['2'],['7'],['Electric_bike'],['7'],['Yes'],['No; thank you']
60,['value'],[' p274'],['91'],['3201'],['2'],['Tue Jan 31 2023 12:24:17 GMT-0600 (Central Standard Time)'],['Orange'],['scooter '],['26-35'],['Female'],['Pharmacy'],['Doctoral_degree (e.g. PhD; EdD)'],['1'],['1'],['2'],['2'],"['2', '4']",['7'],['none'],,['Yes'],
61,['value'],[' p168'],['261'],['4311'],['2'],['Wed Feb 15 2023 19:25:06 GMT-0500 (Eastern Standard Time)'],['Green'],['scooter'],['26-35'],['Female'],"['Other', 'None']",['High_school_degree_or_equivalent'],['1'],['1'],['1'],['0'],['0'],['4'],['none'],['4'],['Yes'],
62,['value'],[' p153'],['114'],['2100'],['2'],['Fri Feb 10 2023 20:07:44 GMT-0500 (Eastern Standard Time)'],['Orange'],['Self Driving Scooter'],['26-35'],['Female'],['Education'],"[""Master's_degree (e.g. MA; MS; MEd)""]",['1'],['1'],['1'],['2'],['4'],['5'],['none'],['4'],['Yes'],
63,['value'],[' p217'],['52'],['2110'],['2'],['Mon Jan 30 2023 15:41:08 GMT-0800 (Pacific Standard Time)'],['Orange'],['self driving scooter'],['18-25'],['Male'],['Technology'],['High_school_degree_or_equivalent'],['1'],['1'],['2'],['2'],['0'],['4'],"['Electricscooter', 'Electric_bike']",['7'],['No'],
64,['value'],[' p191'],['140'],['1410'],['2'],['Fri Feb 10 2023 20:45:57 GMT-0500 (Eastern Standard Time)'],['Orange'],['self-driving scooter'],['26-35'],['Female'],['Education'],['High_school_degree_or_equivalent'],['1'],['1'],['1'],['1'],['0'],,['none'],,['Yes'],
65,['value'],[' p61'],['289'],['4301'],['2'],['Wed Feb 15 2023 19:25:29 GMT-0500 (Eastern Standard Time)'],['Blue'],['self driving scooter'],['46-55'],['Female'],"['Other', 'Retail']",['High_school_degree_or_equivalent'],['0'],['1'],['1'],['0'],['0'],,['none'],,['Yes'],
66,['value'],[' p39'],['126'],['3210'],['2'],['Fri Feb 10 2023 20:30:41 GMT-0500 (Easter Island Summer Time)'],['Orange'],['self driving scooter'],['36-45'],['Female'],"['Other', 'construction']",['High_school_degree_or_equivalent'],['1'],['2'],['2'],['2'],['0'],,['none'],,['Yes'],
67,['value'],[' p215'],['48'],['2100'],['2'],['Mon Jan 30 2023 17:38:27 GMT-0600 (Central Standard Time)'],['Orange'],['Self driving scooter'],['18-25'],['Female'],['Education'],"[""Bachelor's_degree(e.g. BA; BS)""]",['2'],['1'],['1'],['1'],"['1', '2']",['5'],"['Electricscooter', 'Electric_bike']",['4'],['Yes'],
68,['value'],[' p67'],['138'],['1400'],['2'],['Fri Feb 10 2023 19:44:22 GMT-0600 (Central Standard Time)'],['Orange'],['self-driving scooter'],['18-25'],['Female'],['Liberal Arts'],['High_school_degree_or_equivalent'],['1'],['1'],['0'],['0'],['1'],['6'],"['Electricscooter', 'Electric_skateboard_similar']",['6'],['Yes'],
69,['value'],[' p47'],['280'],['3200'],['2'],['Wed Feb 15 2023 16:25:17 GMT-0800 (PST)'],['Orange'],['scooter'],['36-45'],['Female'],['Education'],"[""Bachelor's_degree(e.g. BA; BS)""]",['1'],['1'],['1'],['1'],"['1', '2', '3', '4']",['7'],"['Electric_bike', 'Segway']",['5'],['Yes'],
70,['value'],[' p70'],['267'],['1401'],['2'],['Wed Feb 15 2023 16:25:11 GMT-0800 (Pacific Standard Time)'],['Orange'],['A mobility scooter'],['26-35'],['Male'],['Science'],['High_school_degree_or_equivalent'],['1'],['1'],['1'],['0'],['1'],['5'],['none'],,['Yes'],['No problems']
71,['value'],[' p44'],['303'],['1411'],['2'],['Wed Feb 15 2023 18:26:12 GMT-0600 (Central Standard Time)'],['Orange'],['scooter'],['46-55'],['Female'],['Education'],"[""Bachelor's_degree(e.g. BA; BS)""]",['1'],['1'],['1'],['1'],['3'],['6'],['none'],['4'],['Yes'],['Very interesting!  I really enjoyed it']
72,['value'],[' p83'],['240'],['2100'],['2'],['Wed Feb 15 2023 18:24:44 GMT-0600 (Central Standard Time)'],['Orange'],['Self Driving Scooter'],['46-55'],['Male'],"['Other', 'Publishing']","[""Master's_degree (e.g. MA; MS; MEd)""]",['1'],['2'],['2'],['2'],['0'],,['none'],,['Yes'],['Thank you for the well built simulation and design.']
73,['value'],[' p71'],['300'],['1410'],['2'],['Wed Feb 15 2023 19:26:40 GMT-0500 (Eastern Standard Time)'],['Orange'],['Scooter'],['46-55'],['Male'],['Agriculture'],['High_school_degree_or_equivalent'],['1'],['0'],['0'],['0'],['1'],['4'],['none'],,['Yes'],['No thanks. ']
74,['value'],[' p279'],['306'],['2100'],['2'],['Wed Feb 15 2023 19:26:56 GMT-0500 (Eastern Standard Time)'],['Orange'],['Autonomous Scooter'],['26-35'],['Male'],['Liberal Arts'],['High_school_degree_or_equivalent'],['1'],['1'],['1'],['1'],"['1', '2', '3', '4']",['5'],['none'],,['Yes'],['Everything worked fine.']
75,['value'],[' p249'],['308'],['2110'],['2'],['Wed Feb 15 2023 19:26:56 GMT-0500 (Eastern Standard Time)'],['Blue'],['Self-driving scooter'],['46-55'],['Male'],['Technology'],"[""Bachelor's_degree(e.g. BA; BS)""]",['1'],['1'],['1'],['1'],['0'],['4'],['none'],,['Yes'],['Good study.  Thank you.']
