,a_1,oa_2,ow_0,ow_1,ow_2,diff,ror_ow0,ror_ow1,ror_ow2
90,1,0,4.85714285714286,4.28571428571429,4.57142857142857,1,6.71428571428571,6.57142857142857,6.57142857142857
91,1,1,4.42857142857143,4.57142857142857,4.42857142857143,0,4.42857142857143,4.57142857142857,4.42857142857143
92,0,1,5.14285714285714,5.14285714285714,4.14285714285714,-1,3.42857142857143,2.14285714285714,4
93,0,0,4.85714285714286,5.14285714285714,5.14285714285714,0,4.85714285714286,5.14285714285714,5.14285714285714
94,0,1,6.14285714285714,6.71428571428571,7,-1,5.42857142857143,3.85714285714286,4.85714285714286
95,1,1,2.57142857142857,2.42857142857143,2.14285714285714,0,2.57142857142857,2.42857142857143,2.14285714285714
96,0,0,4,2.14285714285714,2,0,4,2.14285714285714,2
97,1,0,5.14285714285714,4.71428571428571,5.28571428571429,1,3.14285714285714,6.28571428571429,3.28571428571429
98,1,0,3.71428571428571,4,4,1,7,7,7
99,1,0,5.28571428571429,4.42857142857143,6,1,5.85714285714286,6.14285714285714,6.14285714285714
100,0,0,4.42857142857143,3.28571428571429,5.57142857142857,0,4.42857142857143,3.28571428571429,5.57142857142857
101,0,0,5.14285714285714,5,5.14285714285714,0,5.14285714285714,5,5.14285714285714
102,0,0,3.85714285714286,3.42857142857143,4.28571428571429,0,3.85714285714286,3.42857142857143,4.28571428571429
103,0,1,4.42857142857143,5.14285714285714,5.85714285714286,-1,3.14285714285714,3.85714285714286,3.57142857142857
104,1,0,3.71428571428571,3.71428571428571,3.71428571428571,1,4.57142857142857,5.14285714285714,5.28571428571429
105,1,1,5.85714285714286,5.28571428571429,5.42857142857143,0,5.85714285714286,5.28571428571429,5.42857142857143
106,1,0,4.57142857142857,3.42857142857143,3.57142857142857,1,4.42857142857143,3.57142857142857,4.71428571428571
107,1,1,6,6.71428571428571,6.85714285714286,0,6,6.71428571428571,6.85714285714286
108,0,1,6.71428571428571,6.57142857142857,6.57142857142857,-1,4.85714285714286,4.28571428571429,4.57142857142857
109,1,0,4.14285714285714,4.42857142857143,3.85714285714286,1,5.14285714285714,4.14285714285714,6
110,0,1,3.14285714285714,6.28571428571429,3.28571428571429,-1,5.14285714285714,4.71428571428571,5.28571428571429
111,1,0,6.14285714285714,5,5.42857142857143,1,7,6.28571428571429,5.85714285714286
112,1,1,7,7,5.28571428571429,0,7,7,5.28571428571429
113,0,1,7,7,7,-1,3.71428571428571,4,4
114,1,0,6.14285714285714,5.57142857142857,6.42857142857143,1,6.28571428571429,6.14285714285714,6.57142857142857
115,0,1,5.85714285714286,6.14285714285714,6.14285714285714,-1,5.28571428571429,4.42857142857143,6
116,0,0,4.57142857142857,4,6,0,4.57142857142857,4,6
117,0,0,5.42857142857143,5.57142857142857,5,0,5.42857142857143,5.57142857142857,5
118,0,0,4,4.42857142857143,4.71428571428571,0,4,4.42857142857143,4.71428571428571
119,0,1,4.57142857142857,5.14285714285714,5.28571428571429,-1,3.71428571428571,3.71428571428571,3.71428571428571
120,1,1,4.71428571428571,5.71428571428571,6.42857142857143,0,4.71428571428571,5.71428571428571,6.42857142857143
121,1,1,6.42857142857143,6.57142857142857,4.71428571428571,0,6.42857142857143,6.57142857142857,4.71428571428571
122,0,1,4.42857142857143,3.57142857142857,4.71428571428571,-1,4.57142857142857,3.42857142857143,3.57142857142857
123,1,1,6.28571428571429,6.42857142857143,5.85714285714286,0,6.28571428571429,6.42857142857143,5.85714285714286
124,0,0,5.71428571428571,4,4.71428571428571,0,5.71428571428571,4,4.71428571428571
125,0,1,5.14285714285714,4.14285714285714,6,-1,4.14285714285714,4.42857142857143,3.85714285714286
126,1,0,5.57142857142857,5.14285714285714,5.71428571428571,1,5.42857142857143,6.57142857142857,6.85714285714286
127,1,0,6.14285714285714,6.14285714285714,6.14285714285714,1,5.28571428571429,6.14285714285714,6.14285714285714
128,0,1,7,6.28571428571429,5.85714285714286,-1,6.14285714285714,5,5.42857142857143
129,1,0,7,5,6.14285714285714,1,6.42857142857143,6.28571428571429,5
130,1,0,3.85714285714286,2.71428571428571,4.14285714285714,1,6.57142857142857,6.71428571428571,6.57142857142857
131,0,1,6.28571428571429,6.14285714285714,6.57142857142857,-1,6.14285714285714,5.57142857142857,6.42857142857143
132,1,1,5.28571428571429,5.28571428571429,6.71428571428571,0,5.28571428571429,5.28571428571429,6.71428571428571
133,1,1,6.28571428571429,5.71428571428571,4.14285714285714,0,6.28571428571429,5.71428571428571,4.14285714285714
134,0,1,5.42857142857143,6.57142857142857,6.85714285714286,-1,5.57142857142857,5.14285714285714,5.71428571428571
135,0,1,5.28571428571429,6.14285714285714,6.14285714285714,-1,6.14285714285714,6.14285714285714,6.14285714285714
136,1,1,5.14285714285714,3.71428571428571,3.14285714285714,0,5.14285714285714,3.71428571428571,3.14285714285714
137,0,1,6.42857142857143,6.28571428571429,5,-1,7,5,6.14285714285714
138,0,1,6.57142857142857,6.71428571428571,6.57142857142857,-1,3.85714285714286,2.71428571428571,4.14285714285714
139,0,1,5.85714285714286,4,5.57142857142857,-1,5.71428571428571,5.42857142857143,5
140,1,0,5.71428571428571,5.42857142857143,5,1,5.85714285714286,4,5.57142857142857
141,1,0,3.42857142857143,3.28571428571429,3.14285714285714,1,6.42857142857143,5,4.57142857142857
142,0,1,6.42857142857143,5,4.57142857142857,-1,3.42857142857143,3.28571428571429,3.14285714285714
143,1,0,4.42857142857143,4.14285714285714,5,1,4.71428571428571,5.14285714285714,4.85714285714286
144,1,0,6.28571428571429,5.14285714285714,3.85714285714286,1,4.14285714285714,4.57142857142857,4.14285714285714
145,0,0,3.28571428571429,3.71428571428571,4.71428571428571,0,3.28571428571429,3.71428571428571,4.71428571428571
146,0,0,5.42857142857143,4.71428571428571,5.42857142857143,0,5.42857142857143,4.71428571428571,5.42857142857143
147,1,1,6.28571428571429,7,5.57142857142857,0,6.28571428571429,7,5.57142857142857
148,0,0,4.85714285714286,4.71428571428571,5,0,4.85714285714286,4.71428571428571,5
149,0,0,6.14285714285714,3.14285714285714,5.85714285714286,0,6.14285714285714,3.14285714285714,5.85714285714286
150,0,1,4.71428571428571,5.14285714285714,4.85714285714286,-1,4.42857142857143,4.14285714285714,5
151,0,1,4.14285714285714,4.57142857142857,4.14285714285714,-1,6.28571428571429,5.14285714285714,3.85714285714286
152,0,1,3.71428571428571,5.28571428571429,6,-1,2.28571428571429,4.42857142857143,2.85714285714286
153,1,1,4.85714285714286,5,5,0,4.85714285714286,5,5
154,0,1,3.85714285714286,4.85714285714286,4.14285714285714,-1,5.57142857142857,4.85714285714286,5
155,0,1,4.42857142857143,3.71428571428571,4.71428571428571,-1,4.71428571428571,5.14285714285714,5.71428571428571
156,0,0,4.42857142857143,3.71428571428571,5,0,4.42857142857143,3.71428571428571,5
157,1,1,3.85714285714286,5.14285714285714,5,0,3.85714285714286,5.14285714285714,5
158,1,0,2.28571428571429,4.42857142857143,2.85714285714286,1,3.71428571428571,5.28571428571429,6
159,0,1,3.42857142857143,5.14285714285714,4,-1,3.85714285714286,4.28571428571429,4.14285714285714
160,0,0,5.85714285714286,4,2.57142857142857,0,5.85714285714286,4,2.57142857142857
161,0,1,4.14285714285714,6.57142857142857,4.14285714285714,-1,3.57142857142857,5.57142857142857,6.28571428571429
162,1,1,6,4.71428571428571,6.14285714285714,0,6,4.71428571428571,6.14285714285714
163,0,0,5.57142857142857,4.28571428571429,4.14285714285714,0,5.57142857142857,4.28571428571429,4.14285714285714
164,0,0,5.42857142857143,3,2.85714285714286,0,5.42857142857143,3,2.85714285714286
165,1,1,5.85714285714286,3.14285714285714,5.28571428571429,0,5.85714285714286,3.14285714285714,5.28571428571429
166,1,1,6.28571428571429,5.85714285714286,5.57142857142857,0,6.28571428571429,5.85714285714286,5.57142857142857
167,1,0,5.57142857142857,4.85714285714286,5,1,3.85714285714286,4.85714285714286,4.14285714285714
168,1,1,5.85714285714286,5.85714285714286,5.14285714285714,0,5.85714285714286,5.85714285714286,5.14285714285714
169,1,1,5.71428571428571,5.71428571428571,5.42857142857143,0,5.71428571428571,5.71428571428571,5.42857142857143
170,1,0,4.71428571428571,5.14285714285714,5.71428571428571,1,4.42857142857143,3.71428571428571,4.71428571428571
171,1,0,3.85714285714286,4.28571428571429,4.14285714285714,1,3.42857142857143,5.14285714285714,4
172,1,0,3.57142857142857,5.57142857142857,6.28571428571429,1,4.14285714285714,6.57142857142857,4.14285714285714
173,0,1,6,6,6,-1,5,4.71428571428571,4.85714285714286
174,1,0,5,4.71428571428571,4.85714285714286,1,6,6,6
175,0,1,4,3.71428571428571,3.85714285714286,-1,4.14285714285714,3,3.42857142857143
176,0,0,4,3.42857142857143,4,0,4,3.42857142857143,4
177,1,1,6.85714285714286,7,7,0,6.85714285714286,7,7
178,1,1,2.85714285714286,2.28571428571429,2.28571428571429,0,2.85714285714286,2.28571428571429,2.28571428571429
179,0,1,5,2.71428571428571,2.28571428571429,-1,3.85714285714286,4.57142857142857,4.85714285714286
180,0,0,5.71428571428571,5.85714285714286,6,0,5.71428571428571,5.85714285714286,6
181,1,1,5.71428571428571,6.71428571428571,6.57142857142857,0,5.71428571428571,6.71428571428571,6.57142857142857
182,0,0,4.14285714285714,5.57142857142857,3.85714285714286,0,4.14285714285714,5.57142857142857,3.85714285714286
183,0,0,4,4.14285714285714,3,0,4,4.14285714285714,3
184,0,1,5.28571428571429,5.14285714285714,5.57142857142857,-1,6.71428571428571,5.28571428571429,3.71428571428571
185,0,0,5.14285714285714,4.42857142857143,3.71428571428571,0,5.14285714285714,4.42857142857143,3.71428571428571
186,1,1,6.42857142857143,6.57142857142857,6.57142857142857,0,6.42857142857143,6.57142857142857,6.57142857142857
187,0,1,4,5,6,-1,5.14285714285714,3,6.57142857142857
188,0,1,5.42857142857143,6,4.71428571428571,-1,2.42857142857143,2.42857142857143,3.85714285714286
189,1,0,4.14285714285714,3,3.42857142857143,1,4,3.71428571428571,3.85714285714286
190,0,1,4.57142857142857,4.71428571428571,4.71428571428571,-1,6.28571428571429,6.57142857142857,6.42857142857143
